meeting_date,release_date,days_to_release,,,,,,,,,,,
2-Feb-00,23-Mar-00,50,,,,,,,,,,,
21-Mar-00,18-May-00,58,,,,,,,,,,,
16-May-00,29-Jun-00,44,,,,,,,,,,,
28-Jun-00,24-Aug-00,57,,,,,,,,,,,
22-Aug-00,5-Oct-00,44,,,,,,,,,,,
3-Oct-00,16-Nov-00,44,,,,,,,,,,,
15-Nov-00,21-Dec-00,36,,,,,,,,,,,
19-Dec-00,1-Feb-01,44,,,,,,,,,,,
3-Jan-01,3-Jan-01,0,,,,,,,,,,,
31-Jan-01,22-Mar-01,50,,,,,,,,,,,
20-Mar-01,17-May-01,58,,,,,,,,,,,
11-Apr-01,11-Apr-01,0,,,,,,,,,,,
18-Apr-01,18-Apr-01,0,,,,,,,,,,,
15-May-01,28-Jun-01,44,,,,,,,,,,,
27-Jun-01,23-Aug-01,57,,,,,,,,,,,
21-Aug-01,4-Oct-01,44,,,,,,,,,,,
13-Sep-01,13-Sep-01,0,,,,,,,,,,,
17-Sep-01,17-Sep-01,0,,,,,,,,,,,
2-Oct-01,8-Nov-01,37,,,,,,,,,,,
6-Nov-01,13-Dec-01,37,,,,,,,,,,,
11-Dec-01,31-Jan-02,51,,,,,,,,,,,
30-Jan-02,21-Mar-02,50,,,,,,,,,,,
19-Mar-02,9-May-02,51,,,,,,,,,,,
7-May-02,27-Jun-02,51,,,,,,,,,,,
26-Jun-02,15-Aug-02,50,,,,,,,,,,,
13-Aug-02,26-Sep-02,44,,,,,,,,,,,
24-Sep-02,7-Nov-02,44,,,,,,,,,,,
6-Nov-02,12-Dec-02,36,,,,,,,,,,,
10-Dec-02,30-Jan-03,51,,,,,,,,,,,
29-Jan-03,20-Mar-03,50,,,,,,,,,,,
18-Mar-03,8-May-03,51,,,,,,,,,,,
25-Mar-03,25-Mar-03,0,,,,,,,,,,,
1-Apr-03,1-Apr-03,0,,,,,,,,,,,
8-Apr-03,8-Apr-03,0,,,,,,,,,,,
16-Apr-03,16-Apr-03,0,,,,,,,,,,,
6-May-03,26-Jun-03,51,,,,,,,,,,,
25-Jun-03,14-Aug-03,50,,,,,,,,,,,
12-Aug-03,18-Sep-03,37,,,,,,,,,,,
15-Sep-03,15-Sep-03,0,,,,,,,,,,,
16-Sep-03,30-Oct-03,44,,,,,,,,,,,
28-Oct-03,11-Dec-03,44,,,,,,,,,,,
9-Dec-03,29-Jan-04,51,,,,,,,,,,,
28-Jan-04,18-Mar-04,50,,,,,,,,,,,
16-Mar-04,6-May-04,51,,,,,,,,,,,
4-May-04,1-Jul-04,58,,,,,,,,,,,
30-Jun-04,12-Aug-04,43,,,,,,,,,,,
10-Aug-04,23-Sep-04,44,,,,,,,,,,,
21-Sep-04,11-Nov-04,51,,,,,,,,,,,
10-Nov-04,16-Dec-04,36,,,,,,,,,,,
14-Dec-04,4-Jan-05,21,,,,,,,,,,,
2-Feb-05,23-Feb-05,21,,,,,,,,,,,
22-Mar-05,12-Apr-05,21,,,,,,,,,,,
